sample_id,source_csv_line,source_run_id,group_id,group_index,trajectory_rank,N_params_B,D_tokens_B,val_loss,C_FLOPs_1e21,steps,compute_ratio_C_over_6ND,compute_identity_outlier,token_tail_split
B1:0.162405:74000,226,239,N=0.162405B,2,78,0.162405,155.189,2.6486,0.1512,74000,0.9998623385961284,0,train
B1:0.162405:75000,227,240,N=0.162405B,2,79,0.162405,157.286,2.6477,0.1533,75000,1.0002336032857346,0,train
B1:0.162405:76000,228,241,N=0.162405B,2,80,0.162405,159.384,2.6464,0.1553,76000,0.9999449410870277,0,train
B1:0.162405:77000,229,242,N=0.162405B,2,81,0.162405,161.481,2.6454,0.1574,77000,1.0003054882755265,0,train
B1:0.162405:78000,230,243,N=0.162405B,2,82,0.162405,163.578,2.6444,0.1594,78000,1.000029420313459,0,train
B1:0.162405:79000,231,244,N=0.162405B,2,83,0.162405,165.675,2.6434,0.1614,79000,0.999760340907498,0,train
B1:0.162405:80000,232,245,N=0.162405B,2,84,0.162405,167.772,2.642,0.1635,80000,1.0001096758806909,0,train
B1:0.162405:81000,233,246,N=0.162405B,2,85,0.162405,169.869,2.6411,0.1655,81000,0.9998462492018555,0,train
B1:0.162405:82000,234,247,N=0.162405B,2,86,0.162405,171.966,2.6401,0.1676,82000,1.0001860168153907,0,train
B1:0.162405:83000,235,248,N=0.162405B,2,87,0.162405,174.064,2.6391,0.1696,83000,0.9999222730230847,0,train
B1:0.162405:84000,236,249,N=0.162405B,2,88,0.162405,176.161,2.6385,0.1717,84000,1.000253044621089,0,train
B1:0.162405:85000,237,250,N=0.162405B,2,89,0.162405,178.258,2.6373,0.1737,85000,1.0000003284975172,0,train
B1:0.162405:86000,238,251,N=0.162405B,2,90,0.162405,180.355,2.6361,0.1757,86000,0.9997534890694751,0,train
B1:0.162405:87000,239,252,N=0.162405B,2,91,0.162405,182.452,2.6355,0.1778,87000,1.0000747954702096,0,train
B1:0.162405:88000,240,253,N=0.162405B,2,92,0.162405,184.549,2.6347,0.1798,88000,0.9998327194779998,0,train
B1:0.162405:89000,241,254,N=0.162405B,2,93,0.162405,186.647,2.6337,0.1819,89000,1.0001405573566726,0,train
B1:0.162405:90000,242,255,N=0.162405B,2,94,0.162405,188.744,2.6324,0.1839,90000,0.9999031310810708,0,train
B1:0.162405:91000,243,256,N=0.162405B,2,95,0.162405,190.841,2.6317,0.186,91000,1.0002086691789034,0,train
B1:0.162405:92000,244,257,N=0.162405B,2,96,0.162405,192.938,2.6311,0.188,92000,0.9999756636773776,0,train
B1:0.162405:93000,245,258,N=0.162405B,2,97,0.162405,195.035,2.6299,0.19,93000,0.9997476686871617,0,train
B1:0.162405:94000,246,259,N=0.162405B,2,98,0.162405,197.132,2.6292,0.1921,94000,1.0000451099994219,0,train
B1:0.162405:95000,247,260,N=0.162405B,2,99,0.162405,199.229,2.6284,0.1941,95000,0.999821183603897,0,train
B1:0.162405:96000,248,261,N=0.162405B,2,100,0.162405,201.327,2.6274,0.1962,96000,1.0001066953276325,0,train
B1:0.162405:97000,249,262,N=0.162405B,2,101,0.162405,203.424,2.6267,0.1982,97000,0.9998867518780529,0,train
B1:0.162405:98000,250,263,N=0.162405B,2,102,0.162405,205.521,2.6254,0.2003,98000,1.0001706330547562,0,train
B1:0.162405:99000,251,264,N=0.162405B,2,103,0.162405,207.618,2.6249,0.2023,99000,0.9999544867972009,0,test
B1:0.162405:100000,252,265,N=0.162405B,2,104,0.162405,209.715,2.6243,0.2044,100000,1.0002320134557219,0,test
B1:0.162405:101000,253,266,N=0.162405B,2,105,0.162405,211.812,2.6234,0.2064,101000,1.0000195393352664,0,test
B1:0.162405:102000,254,267,N=0.162405B,2,106,0.162405,213.91,2.623,0.2084,102000,0.9998065571010997,0,test
B1:0.162405:103000,255,268,N=0.162405B,2,107,0.162405,216.007,2.6218,0.2105,103000,1.0000774358770859,0,test
B1:0.162405:104000,256,269,N=0.162405B,2,108,0.162405,218.104,2.6212,0.2125,104000,0.9998725775561953,0,test
B1:0.162405:105000,257,270,N=0.162405B,2,109,0.162405,220.201,2.6206,0.2146,105000,1.0001376683907972,0,test
B1:0.162405:106000,258,271,N=0.162405B,2,110,0.162405,222.298,2.62,0.2166,106000,0.9999361068526782,0,test
B1:0.162405:107000,259,272,N=0.162405B,2,111,0.162405,224.395,2.6189,0.2187,107000,1.000195649382304,0,test
B1:0.162405:108000,260,273,N=0.162405B,2,112,0.162405,226.492,2.6186,0.2207,108000,0.9999972833784722,0,test
B1:0.162405:109000,261,274,N=0.162405B,2,113,0.162405,228.59,2.6177,0.2227,109000,0.9997981830822505,0,test
B1:0.162405:110000,262,275,N=0.162405B,2,114,0.162405,230.687,2.6169,0.2248,110000,1.0000519003358537,0,test
B1:0.162405:111000,263,276,N=0.162405B,2,115,0.162405,232.784,2.6164,0.2268,111000,0.9998601909778673,0,test
B1:0.162405:112000,264,277,N=0.162405B,2,116,0.162405,234.881,2.6157,0.2289,112000,1.00010882429229,0,test
B1:0.162405:113000,265,278,N=0.162405B,2,117,0.162405,236.978,2.6149,0.2309,113000,0.9999200040611874,0,test
B1:0.162405:114000,266,279,N=0.162405B,2,118,0.162405,239.075,2.6143,0.233,114000,1.0001637510589463,0,test
B1:0.162405:115000,267,280,N=0.162405B,2,119,0.162405,241.172,2.6136,0.235,115000,0.9999777368360849,0,test
B1:0.162405:116000,268,281,N=0.162405B,2,120,0.162405,243.27,2.613,0.237,116000,0.9997908197149136,0,test
B1:0.162405:117000,269,282,N=0.162405B,2,121,0.162405,245.367,2.6125,0.2391,117000,1.0000294203134592,0,test
B1:0.162405:118000,270,283,N=0.162405B,2,122,0.162405,247.464,2.612,0.2411,118000,0.9998492739867911,0,test
B1:0.162405:119000,271,284,N=0.162405B,2,123,0.162405,249.561,2.6109,0.2432,119000,1.0000833736035388,0,test
B1:0.162405:120000,272,285,N=0.162405B,2,124,0.162405,251.658,2.6108,0.2452,120000,0.9999057799223052,0,test
B1:0.162405:121000,273,286,N=0.162405B,2,125,0.162405,253.755,2.6096,0.2473,121000,1.0001355434402985,0,test
B1:0.162405:122000,274,287,N=0.162405B,2,126,0.162405,255.853,2.6092,0.2493,122000,0.9999565249948513,0,test
B1:0.162405:123000,275,288,N=0.162405B,2,127,0.162405,257.95,2.6088,0.2514,123000,1.000182139373961,0,test
B1:0.162405:124000,276,289,N=0.162405B,2,128,0.162405,260.047,2.6081,0.2534,124000,1.0000094783455604,0,test
B1:0.162405:125000,277,290,N=0.162405B,2,129,0.162405,262.144,2.6074,0.2554,125000,0.999839579693385,0,test
B1:0.162405:126000,278,291,N=0.162405B,2,130,0.162405,264.241,2.6069,0.2575,126000,1.0000607507583916,0,test
B1:0.162405:127000,279,292,N=0.162405B,2,131,0.162405,266.338,2.6063,0.2595,127000,0.9998931237936866,0,test
B1:0.162405:128000,280,293,N=0.162405B,2,132,0.162405,268.435,2.6057,0.2616,128000,1.000110421021731,0,test
B1:0.162405:129000,281,294,N=0.162405B,2,133,0.162405,270.533,2.6053,0.2636,129000,0.9999413115249641,0,test
B1:0.162405:130000,282,295,N=0.162405B,2,134,0.162405,272.63,2.6047,0.2657,130000,1.0001548945192702,0,test
B1:0.162405:131000,283,296,N=0.162405B,2,135,0.162405,274.727,2.604,0.2677,131000,0.9999916675703638,0,test
B1:0.162405:132000,284,297,N=0.162405B,2,136,0.162405,276.824,2.6037,0.2697,132000,0.9998309135783678,0,test
B1:0.162405:133000,285,298,N=0.162405B,2,137,0.162405,278.921,2.603,0.2718,133000,1.0000405092568274,0,test
B1:0.162405:134000,286,299,N=0.162405B,2,138,0.162405,281.018,2.6026,0.2738,134000,0.9998817899431294,0,test
B1:0.162405:135000,287,300,N=0.162405B,2,139,0.162405,283.116,2.602,0.2759,135000,1.0000843714528453,0,test
B1:0.162405:136000,288,301,N=0.162405B,2,140,0.162405,285.213,2.6013,0.2779,136000,0.9999276641389365,0,test
B1:0.162405:137000,289,302,N=0.162405B,2,141,0.162405,287.31,2.6008,0.28,137000,1.000130433796471,0,test
B1:0.162405:138000,290,303,N=0.162405B,2,142,0.162405,289.407,2.6005,0.282,138000,0.9999756636773773,0,test
B1:0.162405:139000,291,304,N=0.162405B,2,143,0.162405,291.504,2.5999,0.2841,139000,1.0001751707005195,0,test
B1:0.162405:140000,292,305,N=0.162405B,2,144,0.162405,293.601,2.5993,0.2861,140000,1.0000222918985258,0,test
B1:0.162405:141000,293,306,N=0.162405B,2,145,0.162405,295.698,2.5989,0.2881,141000,0.9998715814361739,0,test
B1:0.162405:142000,294,307,N=0.162405B,2,146,0.162405,297.796,2.5985,0.2902,142000,1.00006424851079,0,test
B1:0.162405:143000,295,308,N=0.162405B,2,147,0.162405,299.893,2.5978,0.2922,143000,0.9999153528536311,0,test
B1:0.409009:64,296,316,N=0.409009B,3,1,0.409009,0.134,4.3461,0.0003,64,0.9122887964768719,1,train
B1:0.409009:128,297,317,N=0.409009B,3,2,0.409009,0.268,3.9625,0.0007,128,1.0643369292230174,1,train
B1:0.409009:256,298,318,N=0.409009B,3,3,0.409009,0.537,3.6458,0.0013,256,0.9864724292133524,0,train
B1:0.409009:512,299,319,N=0.409009B,3,4,0.409009,1.074,3.3856,0.0026,512,0.9864724292133524,0,train
B1:0.409009:1000,300,320,N=0.409009B,3,5,0.409009,2.097,3.1777,0.0051,1000,0.9910318924054909,0,train
B1:0.409009:2000,301,321,N=0.409009B,3,6,0.409009,4.194,2.9999,0.0103,2000,1.0007478913506427,0,train
B1:0.409009:3000,302,322,N=0.409009B,3,7,0.409009,6.291,2.9109,0.0154,3000,0.997509225035592,0,train
B1:0.409009:4000,303,323,N=0.409009B,3,8,0.409009,8.389,2.8533,0.0206,4000,1.0006285984800563,0,train
B1:0.409009:5000,304,324,N=0.409009B,3,9,0.409009,10.486,2.8125,0.0257,5000,0.9987094403035958,0,train
B1:0.409009:6000,305,325,N=0.409009B,3,10,0.409009,12.583,2.7799,0.0309,6000,1.0006683596100918,0,train
B1:0.409009:7000,306,326,N=0.409009B,3,11,0.409009,14.68,2.754,0.036,7000,0.9992918152144483,0,train
B1:0.409009:8000,307,327,N=0.409009B,3,12,0.409009,16.777,2.733,0.0412,8000,1.000688241360099,0,train
B1:0.409009:9000,308,328,N=0.409009B,3,13,0.409009,18.874,2.7147,0.0463,9000,0.9996153705453374,0,train
B1:0.409009:10000,309,329,N=0.409009B,3,14,0.409009,20.972,2.6988,0.0515,10000,1.0006524547788944,0,train
B1:0.409009:11000,310,330,N=0.409009B,3,15,0.409009,23.069,2.6849,0.0566,11000,0.9997779340238975,0,train
B1:0.409009:12000,311,331,N=0.409009B,3,16,0.409009,25.166,2.6724,0.0618,12000,1.0006683596100918,0,train
B1:0.409009:13000,312,332,N=0.409009B,3,17,0.409009,27.263,2.6611,0.0669,13000,0.9999271472809995,0,train
B1:0.409009:14000,313,333,N=0.409009B,3,18,0.409009,29.36,2.6512,0.0721,14000,1.0006797205133573,0,train
B1:0.409009:15000,314,334,N=0.409009B,3,19,0.409009,31.457,2.6418,0.0772,15000,1.000036572866023,0,train
B1:0.409009:16000,315,335,N=0.409009B,3,20,0.409009,33.554,2.6336,0.0823,16000,0.9994738138827203,0,train
B1:0.409009:17000,316,336,N=0.409009B,3,21,0.409009,35.652,2.6256,0.0875,17000,1.000092200408703,0,train
B1:0.409009:18000,317,337,N=0.409009B,3,22,0.409009,37.749,2.6183,0.0926,18000,0.9995888899664996,0,train
B1:0.409009:19000,318,338,N=0.409009B,3,23,0.409009,39.846,2.6116,0.0978,19000,1.0001612153113406,0,train
B1:0.409009:20000,319,339,N=0.409009B,3,24,0.409009,41.943,2.6055,0.1029,20000,0.9997047818150823,0,train
B1:0.409009:21000,320,340,N=0.409009B,3,25,0.409009,44.04,2.5994,0.1081,21000,1.000217085413721,0,train
B1:0.409009:22000,321,341,N=0.409009B,3,26,0.409009,46.137,2.5938,0.1132,22000,0.9997996037885988,0,train
B1:0.409009:23000,322,342,N=0.409009B,3,27,0.409009,48.234,2.5887,0.1184,23000,1.0002632395808946,0,train
B1:0.409009:24000,323,343,N=0.409009B,3,28,0.409009,50.332,2.5837,0.1235,24000,0.9998587573773976,0,train
B1:0.409009:25000,324,344,N=0.409009B,3,29,0.409009,52.429,2.5789,0.1287,25000,1.0002829303299599,0,train
B1:0.409009:26000,325,345,N=0.409009B,3,30,0.409009,54.526,2.5745,0.1338,26000,0.9999271472809995,0,train
B1:0.409009:27000,326,346,N=0.409009B,3,31,0.409009,56.623,2.5703,0.139,27000,1.000317369454004,0,train
B1:0.409009:28000,327,347,N=0.409009B,3,32,0.409009,58.72,2.566,0.1441,28000,0.9999857678639029,0,train
B1:0.409009:29000,328,348,N=0.409009B,3,33,0.409009,60.817,2.5621,0.1492,29000,0.9996770338448572,0,train
B1:0.409009:30000,329,349,N=0.409009B,3,34,0.409009,62.915,2.5585,0.1544,30000,1.0000206778239367,0,train
B1:0.409009:31000,330,350,N=0.409009B,3,35,0.409009,65.012,2.555,0.1595,31000,0.999730739304548,0,train
B1:0.409009:32000,331,351,N=0.409009B,3,36,0.409009,67.109,2.5517,0.1647,32000,1.0000661252830108,0,train
B1:0.409009:33000,332,352,N=0.409009B,3,37,0.409009,69.206,2.5486,0.1698,33000,0.9997923804293252,0,train
B1:0.409009:34000,333,353,N=0.409009B,3,38,0.409009,71.303,2.5454,0.175,34000,1.0001062263571259,0,train
B1:0.409009:35000,334,354,N=0.409009B,3,39,0.409009,73.4,2.5422,0.1801,35000,0.9998469773340118,0,train
B1:0.409009:36000,335,355,N=0.409009B,3,40,0.409009,75.497,2.5393,0.1853,36000,1.0001418720514292,0,train
B1:0.409009:37000,336,356,N=0.409009B,3,41,0.409009,77.595,2.5363,0.1904,37000,0.9998827861671638,0,train
B1:0.409009:38000,337,357,N=0.409009B,3,42,0.409009,79.692,2.5337,0.1956,38000,1.0001612153113406,0,train
B1:0.409009:39000,338,358,N=0.409009B,3,43,0.409009,81.789,2.531,0.2007,39000,0.9999271472809994,0,train
B1:0.409009:40000,339,359,N=0.409009B,3,44,0.409009,83.886,2.5286,0.2059,40000,1.0001905470151866,0,train
B1:0.409009:41000,340,360,N=0.409009B,3,45,0.409009,85.983,2.5259,0.211,41000,0.9999671807832973,0,train
B1:0.409009:42000,341,361,N=0.409009B,3,46,0.409009,88.08,2.5237,0.2162,42000,1.000217085413721,0,train
B1:0.409009:43000,342,362,N=0.409009B,3,47,0.409009,90.178,2.5215,0.2213,43000,0.9999924012687669,0,train
B1:0.409009:44000,343,363,N=0.409009B,3,48,0.409009,92.275,2.5191,0.2264,44000,0.9997887687888286,0,train
B1:0.409009:45000,344,364,N=0.409009B,3,49,0.409009,94.372,2.5169,0.2316,45000,1.0000259761151555,0,train
B1:0.409009:46000,345,365,N=0.409009B,3,50,0.409009,96.469,2.5148,0.2367,46000,0.9998304667438636,0,train
B1:0.409009:47000,346,366,N=0.409009B,3,51,0.409009,98.566,2.5126,0.2419,47000,1.0000566937307394,0,train
B1:0.409009:48000,347,367,N=0.409009B,3,52,0.409009,100.663,2.5107,0.247,48000,0.999868690110948,0,train
B1:0.409009:49000,348,368,N=0.409009B,3,53,0.409009,102.76,2.5087,0.2522,49000,1.000084903956682,0,train
B1:0.409009:50000,349,369,N=0.409009B,3,54,0.409009,104.858,2.5068,0.2573,50000,0.9998943200229162,0,train
B1:0.409009:51000,350,370,N=0.409009B,3,55,0.409009,106.955,2.5048,0.2625,51000,1.0001015509972722,0,train
B1:0.409009:52000,351,371,N=0.409009B,3,56,0.409009,109.052,2.5031,0.2676,52000,0.9999271472809995,0,train
B1:0.409009:53000,352,372,N=0.409009B,3,57,0.409009,111.149,2.5014,0.2728,53000,1.0001259394437902,0,train
B1:0.409009:54000,353,373,N=0.409009B,3,58,0.409009,113.246,2.4998,0.2779,54000,0.9999575430621138,0,train
B1:0.409009:55000,354,374,N=0.409009B,3,59,0.409009,115.343,2.498,0.2831,55000,1.000148554308128,0,train
B1:0.409009:56000,355,375,N=0.409009B,3,60,0.409009,117.441,2.4965,0.2882,56000,0.9999772530712167,0,train
B1:0.409009:57000,356,376,N=0.409009B,3,61,0.409009,119.538,2.4946,0.2934,57000,1.0001612153113406,0,train
B1:0.409009:58000,357,377,N=0.409009B,3,62,0.409009,121.635,2.4932,0.2985,58000,1.0000038248387497,0,train
B1:0.409009:59000,358,378,N=0.409009B,3,63,0.409009,123.732,2.4916,0.3036,59000,0.9998517692483404,0,train
B1:0.409009:60000,359,379,N=0.409009B,3,64,0.409009,125.829,2.4903,0.3088,60000,1.0000286252818187,0,train
B1:0.409009:61000,360,380,N=0.409009B,3,65,0.409009,127.926,2.4884,0.3139,61000,0.9998811482338246,0,train
B1:0.409009:62000,361,381,N=0.409009B,3,66,0.409009,130.023,2.487,0.3191,62000,1.0000518258070534,0,train
B1:0.409009:63000,362,382,N=0.409009B,3,67,0.409009,132.121,2.4856,0.3242,63000,0.9999010938857928,0,train
B1:0.409009:64000,363,383,N=0.409009B,3,68,0.409009,134.218,2.484,0.3294,64000,1.0000661252830108,0,train
B1:0.409009:65000,364,384,N=0.409009B,3,69,0.409009,136.315,2.4829,0.3345,65000,0.9999271472809994,0,train
B1:0.409009:66000,365,385,N=0.409009B,3,70,0.409009,138.412,2.4815,0.3397,66000,1.000086783368203,0,train
B1:0.409009:67000,366,386,N=0.409009B,3,71,0.409009,140.509,2.4803,0.3448,67000,0.9999516453603261,0,train
B1:0.409009:68000,367,387,N=0.409009B,3,72,0.409009,142.606,2.479,0.35,68000,1.0001062263571259,0,train
B1:0.409009:69000,368,388,N=0.409009B,3,73,0.409009,144.703,2.478,0.3551,69000,0.9999747233592852,0,train
B1:0.409009:70000,369,389,N=0.409009B,3,74,0.409009,146.801,2.4766,0.3603,70000,1.0001177456026114,0,train
B1:0.409009:71000,370,390,N=0.409009B,3,75,0.409009,148.898,2.4752,0.3654,71000,0.9999897852931754,0,train
B1:0.409009:72000,371,391,N=0.409009B,3,76,0.409009,150.995,2.474,0.3705,72000,0.9998653791778372,0,train
B1:0.409009:73000,372,392,N=0.409009B,3,77,0.409009,153.092,2.473,0.3757,73000,1.000010553829774,0,train
B1:0.409009:74000,373,393,N=0.409009B,3,78,0.409009,155.189,2.4716,0.3808,74000,0.9998892291675451,0,train
B1:0.409009:75000,374,394,N=0.409009B,3,79,0.409009,157.286,2.4708,0.386,75000,1.0000302147885536,0,train
B1:0.409009:76000,375,395,N=0.409009B,3,80,0.409009,159.384,2.4696,0.3911,76000,0.9999055503790013,0,train
B1:0.409009:77000,376,396,N=0.409009B,3,81,0.409009,161.481,2.4683,0.3963,77000,1.0000426614868436,0,train
B1:0.409009:78000,377,397,N=0.409009B,3,82,0.409009,163.578,2.4671,0.4014,78000,0.9999271472809994,0,train
B1:0.409009:79000,378,398,N=0.409009B,3,83,0.409009,165.675,2.4664,0.4066,79000,1.0000605141142695,0,train
B1:0.409009:80000,379,399,N=0.409009B,3,84,0.409009,167.772,2.4652,0.4117,80000,0.9999476644151345,0,train
B1:0.409009:81000,380,400,N=0.409009B,3,85,0.409009,169.869,2.4644,0.4169,81000,1.0000774851927439,0,train
B1:0.409009:82000,381,401,N=0.409009B,3,86,0.409009,171.966,2.463,0.422,82000,0.9999671807832973,0,train
B1:0.409009:83000,382,402,N=0.409009B,3,87,0.409009,174.064,2.4621,0.4272,83000,1.000087892893021,0,train
B1:0.409009:84000,383,403,N=0.409009B,3,88,0.409009,176.161,2.4612,0.4323,84000,0.9999800913193335,0,train
B1:0.409009:85000,384,404,N=0.409009B,3,89,0.409009,178.258,2.4603,0.4375,85000,1.000103421135968,0,train
B1:0.409009:86000,385,405,N=0.409009B,3,90,0.409009,180.355,2.4592,0.4426,86000,0.9999979458469669,0,train
B1:0.409009:87000,386,406,N=0.409009B,3,91,0.409009,182.452,2.4584,0.4477,87000,0.9998948951044878,0,train
B1:0.409009:88000,387,407,N=0.409009B,3,92,0.409009,184.549,2.4573,0.4529,88000,1.0000149888623309,0,train
B1:0.409009:89000,388,408,N=0.409009B,3,93,0.409009,186.647,2.4565,0.458,89000,0.9999087049774635,0,train
B1:0.409009:90000,389,409,N=0.409009B,3,94,0.409009,188.744,2.4557,0.4632,90000,1.0000259761151555,0,train
B1:0.409009:91000,390,410,N=0.409009B,3,95,0.409009,190.841,2.4548,0.4683,91000,0.9999271472809994,0,train
B1:0.409009:92000,391,411,N=0.409009B,3,96,0.409009,192.938,2.454,0.4735,92000,1.0000416687858458,0,train
B1:0.409009:93000,392,412,N=0.409009B,3,97,0.409009,195.035,2.4529,0.4786,93000,0.9999447964241178,0,train
B1:0.409009:94000,393,413,N=0.409009B,3,98,0.409009,197.132,2.452,0.4838,94000,1.0000566937307394,0,train
B1:0.409009:95000,394,414,N=0.409009B,3,99,0.409009,199.229,2.4515,0.4889,95000,0.9999617024976404,0,train
B1:0.409009:96000,395,415,N=0.409009B,3,100,0.409009,201.327,2.4506,0.4941,96000,1.0000661252830105,0,train
B1:0.409009:97000,396,416,N=0.409009B,3,101,0.409009,203.424,2.4496,0.4992,97000,0.9999729957292502,0,train
B1:0.409009:98000,397,417,N=0.409009B,3,102,0.409009,205.521,2.4491,0.5044,98000,1.0000800378607406,0,train
B1:0.409009:99000,398,418,N=0.409009B,3,103,0.409009,207.618,2.4481,0.5095,99000,0.9999886490552437,0,test
B1:0.409009:100000,399,419,N=0.409009B,3,104,0.409009,209.715,2.4475,0.5147,100000,1.000093393975166,0,test
B1:0.409009:101000,400,420,N=0.409009B,3,105,0.409009,211.812,2.4466,0.5198,101000,1.000003682491437,0,test
B1:0.409009:102000,401,421,N=0.409009B,3,106,0.409009,213.91,2.446,0.5249,102000,0.9999110554637489,0,test
B1:0.409009:103000,402,422,N=0.409009B,3,107,0.409009,216.007,2.4452,0.5301,103000,1.0000135025818644,0,test
B1:0.409009:104000,403,423,N=0.409009B,3,108,0.409009,218.104,2.4443,0.5352,104000,0.9999271472809995,0,test
B1:0.409009:105000,404,424,N=0.409009B,3,109,0.409009,220.201,2.4437,0.5404,105000,1.0000274899229584,0,test
B1:0.409009:106000,405,425,N=0.409009B,3,110,0.409009,222.298,2.4429,0.5455,106000,0.9999426319035696,0,test
B1:0.409009:107000,406,426,N=0.409009B,3,111,0.409009,224.395,2.4423,0.5507,107000,1.0000409544100801,0,test
B1:0.409009:108000,407,427,N=0.409009B,3,112,0.409009,226.492,2.4413,0.5558,108000,0.9999575430621138,0,test
B1:0.409009:109000,408,428,N=0.409009B,3,113,0.409009,228.59,2.4408,0.561,109000,1.0000495499417061,0,test
B1:0.409009:110000,409,429,N=0.409009B,3,114,0.409009,230.687,2.4401,0.5661,110000,0.9999675772780819,0,test
B1:0.409009:111000,410,430,N=0.409009B,3,115,0.409009,232.784,2.4391,0.5713,111000,1.00006213175089,0,test
B1:0.409009:112000,411,431,N=0.409009B,3,116,0.409009,234.881,2.4385,0.5764,112000,0.9999815104494341,0,test
B1:0.409009:113000,412,432,N=0.409009B,3,117,0.409009,236.978,2.4377,0.5816,113000,1.000074268218247,0,test
B1:0.409009:114000,413,433,N=0.409009B,3,118,0.409009,239.075,2.4373,0.5867,114000,0.9999949547723438,0,test
B1:0.409009:115000,414,434,N=0.409009B,3,119,0.409009,241.172,2.4368,0.5918,115000,0.9999170205934869,0,test
B1:0.409009:116000,415,435,N=0.409009B,3,120,0.409009,243.27,2.4362,0.597,116000,1.0000038248387497,0,test
B1:0.409009:117000,416,436,N=0.409009B,3,121,0.409009,245.367,2.4354,0.6021,117000,0.9999271472809995,0,test
B1:0.409009:118000,417,437,N=0.409009B,3,122,0.409009,247.464,2.4349,0.6073,118000,1.000016435218243,0,test
B1:0.409009:119000,418,438,N=0.409009B,3,123,0.409009,249.561,2.434,0.6124,119000,0.9999409403040603,0,test
B1:0.409009:120000,419,439,N=0.409009B,3,124,0.409009,251.658,2.4333,0.6176,120000,1.0000286252818187,0,test
B1:0.409009:121000,420,440,N=0.409009B,3,125,0.409009,253.755,2.4329,0.6227,121000,0.9999542773917605,0,test
B1:0.409009:122000,421,441,N=0.409009B,3,126,0.409009,255.853,2.4323,0.6279,122000,1.0000365070470014,0,test
B1:0.409009:123000,422,442,N=0.409009B,3,127,0.409009,257.95,2.4317,0.633,123000,0.9999633041902338,0,test
B1:0.409009:124000,423,443,N=0.409009B,3,128,0.409009,260.047,2.4309,0.6382,124000,1.000047980149054,0,test
B1:0.409009:125000,424,444,N=0.409009B,3,129,0.409009,262.144,2.4305,0.6433,125000,0.9999758566749395,0,test
B1:0.409009:126000,425,445,N=0.409009B,3,130,0.409009,264.241,2.4298,0.6485,126000,1.000059089051834,0,test
B1:0.409009:127000,426,446,N=0.409009B,3,131,0.409009,266.338,2.4294,0.6536,127000,0.9999880138340002,0,test
B1:0.409009:128000,427,447,N=0.409009B,3,132,0.409009,268.435,2.4288,0.6588,128000,1.0000698508259738,0,test
B1:0.409009:129000,428,448,N=0.409009B,3,133,0.409009,270.533,2.4281,0.6639,129000,0.9999960976474018,0,test
B1:0.409009:130000,429,449,N=0.409009B,3,134,0.409009,272.63,2.4276,0.669,130000,0.9999271472809994,0,test
B1:0.409009:131000,430,450,N=0.409009B,3,135,0.409009,274.727,2.427,0.6742,131000,1.0000075745782875,0,test
B1:0.409009:132000,431,451,N=0.409009B,3,136,0.409009,276.824,2.4266,0.6793,132000,0.9999395818987641,0,test
B1:0.409009:133000,432,452,N=0.409009B,3,137,0.409009,278.921,2.4261,0.6845,133000,1.0000187063630697,0,test
B1:0.409009:134000,433,453,N=0.409009B,3,138,0.409009,281.018,2.4254,0.6896,134000,0.9999516453603261,0,test
B1:0.409009:135000,434,454,N=0.409009B,3,139,0.409009,283.116,2.425,0.6948,135000,1.0000259761151553,0,test
B1:0.409009:136000,435,455,N=0.409009B,3,140,0.409009,285.213,2.4244,0.6999,136000,0.9999598480160183,0,test
B1:0.409009:137000,436,456,N=0.409009B,3,141,0.409009,287.31,2.4238,0.7051,137000,1.000036514253395,0,test
B1:0.409009:138000,437,457,N=0.409009B,3,142,0.409009,289.407,2.4234,0.7102,138000,0.999971268105185,0,test
B1:0.409009:139000,438,458,N=0.409009B,3,143,0.409009,291.504,2.4228,0.7154,139000,1.0000467491577048,0,test
B1:0.409009:140000,439,459,N=0.409009B,3,144,0.409009,293.601,2.4223,0.7205,140000,0.9999823619294276,0,test
B1:0.409009:141000,440,460,N=0.409009B,3,145,0.409009,295.698,2.4217,0.7257,141000,1.0000566937307394,0,test
B1:0.409009:142000,441,461,N=0.409009B,3,146,0.409009,297.796,2.4216,0.7308,142000,0.9999897852931754,0,test
B1:0.409009:143000,442,462,N=0.409009B,3,147,0.409009,299.893,2.4209,0.736,143000,1.000063025409452,0,test
B1:1.040867:64,443,470,N=1.040867B,4,1,1.040867,0.134,4.2153,0.0008,64,0.9559577502427212,0,train
B1:1.040867:128,444,471,N=1.040867B,4,2,1.040867,0.268,3.8315,0.0017,128,1.0157051096328913,0,train
B1:1.040867:256,445,472,N=1.040867B,4,3,1.040867,0.537,3.5146,0.0034,256,1.0138136662257535,0,train
B1:1.040867:512,446,473,N=1.040867B,4,4,1.040867,1.074,3.2545,0.0067,512,0.9989046417224338,0,train
B1:1.040867:1000,447,474,N=1.040867B,4,5,1.040867,2.097,3.0476,0.0131,1000,1.0002910316977067,0,train
B1:1.040867:2000,448,475,N=1.040867B,4,6,1.040867,4.194,2.8697,0.0262,2000,1.0002910316977067,0,train
B1:1.040867:3000,449,476,N=1.040867B,4,7,1.040867,6.291,2.7802,0.0393,3000,1.0002910316977067,0,train
B1:1.040867:4000,450,477,N=1.040867B,4,8,1.040867,8.389,2.723,0.0524,4000,1.0001717932864902,0,train
